country_name,capital,continent,population_millions,gdp_billions_usd,area_sq_km,official_language,currency,description,government_type,notable_landmarks,cultural_highlights,historical_facts
Japan,Tokyo,Asia,125.4,4940.0,377975,Japanese,Yen (JPY),"Island nation known for advanced technology, traditional culture, and unique blend of ancient and modern. Famous for cherry blossoms, anime, and efficient public transportation.",Constitutional monarchy,"Mount Fuji, Tokyo Tower, Kyoto temples, Hiroshima Peace Memorial","Tea ceremonies, sumo wrestling, anime and manga culture, traditional festivals like Hanami","Isolated from world for 200+ years during Edo period, rapid modernization during Meiji Restoration, economic miracle after WWII"
Brazil,Brasília,South America,215.3,1920.0,8515767,Portuguese,Real (BRL),"Largest country in South America, home to Amazon rainforest and vibrant culture. Known for Carnival, football, and diverse ecosystems from beaches to rainforests.",Federal republic,"Christ the Redeemer statue, Amazon rainforest, Iguazu Falls, Copacabana beach","Carnival festival, samba music and dance, capoeira martial art, diverse ethnic cuisine","Portuguese colonization began 1500, independence in 1822, capital moved from Rio to Brasília in 1960"
Norway,Oslo,Europe,5.5,579.0,385207,Norwegian,Krone (NOK),"Scandinavian country famous for fjords, northern lights, and high quality of life. Pioneer in environmental sustainability and social welfare programs.",Constitutional monarchy,"Geirangerfjord, Bergen's Bryggen wharf, Northern Lights viewing spots","Viking heritage, outdoor culture including skiing, midnight sun in summer, strong environmental consciousness","Viking Age exploration and settlements, union with Denmark then Sweden, independence in 1905"
Egypt,Cairo,Africa,104.3,476.0,1001450,Arabic,Pound (EGP),"Ancient civilization cradle with iconic pyramids and pharaonic history. Modern nation at crossroads of Africa and Middle East, home to Suez Canal.",Republic,"Great Pyramids of Giza, Sphinx, Valley of the Kings, Karnak Temple complex","Ancient hieroglyphics and art, belly dancing, Arabic calligraphy, spice markets and bazaars","One of world's oldest civilizations dating 3000 BCE, ruled by pharaohs for millennia, British protectorate until 1952"
Canada,Ottawa,North America,38.9,2140.0,9984670,English and French,Dollar (CAD),"Second-largest country by area, known for natural beauty, multiculturalism, and friendly people. Features diverse landscapes from Arctic tundra to temperate rainforests.",Constitutional monarchy,"Niagara Falls, CN Tower, Rocky Mountains, Parliament Hill","Ice hockey culture, maple syrup production, Indigenous First Nations art, bilingual heritage","Indigenous peoples for thousands of years, French and British colonization, confederation in 1867"
South Korea,Seoul,Asia,51.7,1810.0,100210,Korean,Won (KRW),"Technological powerhouse with rich cultural heritage. Known for K-pop, cuisine, and rapid economic development. Divided from North Korea since 1953.",Republic,"Gyeongbokgung Palace, DMZ border, Jeju Island, Bukchon Hanok Village","K-pop and K-dramas, kimchi and Korean BBQ, taekwondo martial art, respect for elders tradition","Ancient kingdoms unified in 7th century, Japanese occupation 1910-1945, Korean War 1950-1953, rapid industrialization"
Kenya,Nairobi,Africa,54.0,113.0,580367,Swahili and English,Shilling (KES),"East African nation famous for wildlife safaris and diverse ecosystems. Home to Maasai people and birthplace of humanity based on fossil discoveries.",Republic,"Maasai Mara game reserve, Mount Kenya, Amboseli National Park, Great Rift Valley","Maasai warrior culture, traditional beadwork, safari tourism, long-distance running excellence","Cradle of humankind with fossil discoveries, British colonial period, independence in 1963"
Australia,Canberra,Oceania,26.1,1690.0,7692024,English,Dollar (AUD),"Island continent with unique wildlife, beaches, and Outback desert. Known for laid-back culture and dangerous creatures. Indigenous Aboriginal culture dates back 65000+ years.",Constitutional monarchy,"Sydney Opera House, Great Barrier Reef, Uluru (Ayers Rock), Bondi Beach","Surfing culture, Aboriginal art and dreamtime stories, barbecue lifestyle, unique wildlife like kangaroos","Indigenous Aboriginal peoples oldest continuous culture, British penal colony from 1788, federation in 1901"
Mexico,Mexico City,North America,127.5,1410.0,1964375,Spanish,Peso (MXN),"Ancient Mesoamerican civilizations met Spanish colonization creating vibrant mestizo culture. Known for cuisine, Day of the Dead celebrations, and archaeological sites.",Federal republic,"Chichen Itza pyramid, Teotihuacan, Copper Canyon, Mayan ruins at Tulum","Mariachi music, Day of the Dead festival, taco and mole cuisine, lucha libre wrestling","Aztec and Mayan civilizations, Spanish conquest 1521, independence in 1821, Mexican Revolution 1910-1920"
Netherlands,Amsterdam,Europe,17.5,1010.0,41543,Dutch,Euro (EUR),"Low-lying country with extensive canal systems and dike engineering. Known for windmills, tulips, liberal social policies, and cycling culture.",Constitutional monarchy,"Keukenhof tulip gardens, Anne Frank House, windmills at Kinderdijk, Van Gogh Museum","Cycling culture, cheese and stroopwafel treats, Golden Age art masters, tolerance and progressive policies","Golden Age of trade and art in 17th century, land reclamation from sea, neutral in WWI, occupied in WWII"
India,New Delhi,Asia,1417.2,3740.0,3287263,Hindi and English,Rupee (INR),"World's most populous democracy with incredible diversity of languages, religions, and cultures. Ancient civilization with modern tech industry. Known for spices, yoga, and Bollywood.",Federal republic,"Taj Mahal, Himalayan mountains, Ganges River, Amber Fort","Yoga and meditation, Bollywood cinema, diverse cuisine with spices, Holi festival of colors","Indus Valley Civilization 3300 BCE, Mughal Empire, British Raj colonization, independence in 1947"
New Zealand,Wellington,Oceania,5.1,249.0,268021,English and Māori,Dollar (NZD),"Island nation in South Pacific with stunning landscapes featured in Lord of the Rings films. Known for Māori culture, adventure sports, and kiwi birds.",Constitutional monarchy,"Fiordland National Park, Hobbiton movie set, Rotorua geothermal areas, Milford Sound","Māori haka dance and culture, rugby passion, adventure sports like bungee jumping, conservation efforts","Māori settlement from Polynesia 1250-1300, British colonization from 1840, Treaty of Waitangi"
